antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Edad_18'}),"frozenset({'Si alguna vez te inscribiste a un club, fue principalmente porque:_me interesaba la temática del club'})",0.13636363636363635,0.6818181818181818,0.13636363636363635,1.0,1.4666666666666668,1.0,0.043388429752066124,inf,0.36842105263157904,0.2,1.0,0.6
frozenset({'Semestre actual_3'}),frozenset({'Edad_19'}),0.2727272727272727,0.22727272727272727,0.22727272727272727,0.8333333333333334,3.666666666666667,1.0,0.1652892561983471,4.636363636363638,1.0,0.8333333333333334,0.7843137254901961,0.9166666666666667
frozenset({'Edad_19'}),frozenset({'Semestre actual_3'}),0.22727272727272727,0.2727272727272727,0.22727272727272727,1.0,3.666666666666667,1.0,0.1652892561983471,inf,0.9411764705882353,0.8333333333333334,1.0,0.9166666666666667
frozenset({'Edad_19'}),frozenset({'¿Cómo percibes el ambiente de los clubes estudiantiles en CETYS?_muy acogedor'}),0.22727272727272727,0.5454545454545454,0.18181818181818182,0.8,1.4666666666666668,1.0,0.0578512396694215,2.2727272727272734,0.41176470588235303,0.30769230769230776,0.5600000000000002,0.5666666666666667
frozenset({'Edad_19'}),frozenset({'¿Cuánto tiempo libre promedio tienes a la semana para actividades extracurriculares?_2-5 horas'}),0.22727272727272727,0.5454545454545454,0.18181818181818182,0.8,1.4666666666666668,1.0,0.0578512396694215,2.2727272727272734,0.41176470588235303,0.30769230769230776,0.5600000000000002,0.5666666666666667
frozenset({'Edad_19'}),frozenset({'¿Te sientes cómodo(a) participando en actividades grupales o de colaboración?_4'}),0.22727272727272727,0.5454545454545454,0.18181818181818182,0.8,1.4666666666666668,1.0,0.0578512396694215,2.2727272727272734,0.41176470588235303,0.30769230769230776,0.5600000000000002,0.5666666666666667
frozenset({'Semestre actual_5'}),frozenset({'Edad_20'}),0.22727272727272727,0.22727272727272727,0.18181818181818182,0.8,3.5200000000000005,1.0,0.13016528925619836,3.863636363636364,0.9264705882352942,0.6666666666666667,0.7411764705882353,0.8
frozenset({'Edad_20'}),frozenset({'Semestre actual_5'}),0.22727272727272727,0.22727272727272727,0.18181818181818182,0.8,3.5200000000000005,1.0,0.13016528925619836,3.863636363636364,0.9264705882352942,0.6666666666666667,0.7411764705882353,0.8
frozenset({'¿Que te motiva a unirte a un club estudiantil?_aprender cosas nuevas'}),frozenset({'Edad_20'}),0.09090909090909091,0.22727272727272727,0.09090909090909091,1.0,4.4,1.0,0.07024793388429752,inf,0.85,0.4,1.0,0.7
frozenset({'Edad_20'}),"frozenset({'¿Has participado previamente en algún evento de Fox Coding (taller, hackathon, etc)?_si'})",0.22727272727272727,0.5909090909090909,0.18181818181818182,0.8,1.353846153846154,1.0,0.0475206611570248,2.045454545454546,0.33823529411764713,0.2857142857142857,0.5111111111111112,0.5538461538461539
frozenset({'Edad_20'}),frozenset({'¿Cómo te describirías en general?_depende del grupo o la situación'}),0.22727272727272727,0.5909090909090909,0.22727272727272727,1.0,1.6923076923076923,1.0,0.09297520661157024,inf,0.5294117647058824,0.3846153846153846,1.0,0.6923076923076923
"frozenset({'¿Con qué frecuencia sueles participar en actividades sociales dentro del campus (reuniones, eventos, clubes, etc.)?_rara vez'})",frozenset({'Edad_20'}),0.09090909090909091,0.22727272727272727,0.09090909090909091,1.0,4.4,1.0,0.07024793388429752,inf,0.85,0.4,1.0,0.7
frozenset({'Edad_21'}),frozenset({'Semestre actual_7'}),0.22727272727272727,0.3181818181818182,0.18181818181818182,0.8,2.5142857142857147,1.0,0.10950413223140497,3.40909090909091,0.7794117647058824,0.5000000000000001,0.7066666666666667,0.6857142857142857
frozenset({'Edad_21'}),"frozenset({'¿Has participado previamente en algún evento de Fox Coding (taller, hackathon, etc)?_si'})",0.22727272727272727,0.5909090909090909,0.18181818181818182,0.8,1.353846153846154,1.0,0.0475206611570248,2.045454545454546,0.33823529411764713,0.2857142857142857,0.5111111111111112,0.5538461538461539
frozenset({'Edad_21'}),frozenset({'¿Que tan confiado(a) te sientes en tus habilidades de programación?_3'}),0.22727272727272727,0.5909090909090909,0.18181818181818182,0.8,1.353846153846154,1.0,0.0475206611570248,2.045454545454546,0.33823529411764713,0.2857142857142857,0.5111111111111112,0.5538461538461539
frozenset({'Edad_21'}),frozenset({'¿Cuánto tiempo libre promedio tienes a la semana para actividades extracurriculares?_menos de 2 horas'}),0.22727272727272727,0.2727272727272727,0.18181818181818182,0.8,2.9333333333333336,1.0,0.11983471074380167,3.636363636363637,0.8529411764705883,0.5714285714285715,0.7250000000000001,0.7333333333333334
"frozenset({'¿Con qué frecuencia sueles participar en actividades sociales dentro del campus (reuniones, eventos, clubes, etc.)?_nunca'})",frozenset({'Edad_21'}),0.09090909090909091,0.22727272727272727,0.09090909090909091,1.0,4.4,1.0,0.07024793388429752,inf,0.85,0.4,1.0,0.7
frozenset({'¿Con qué frecuencia usas redes sociales para informarte sobre eventos universitarios?_nunca'}),frozenset({'Edad_21'}),0.09090909090909091,0.22727272727272727,0.09090909090909091,1.0,4.4,1.0,0.07024793388429752,inf,0.85,0.4,1.0,0.7
frozenset({'Carrera que estudias_ice'}),frozenset({'Genero_femenino'}),0.09090909090909091,0.5,0.09090909090909091,1.0,2.0,1.0,0.045454545454545456,inf,0.55,0.18181818181818182,1.0,0.5909090909090909
frozenset({'¿Tienes experiencia previa en programación?_no'}),frozenset({'Genero_femenino'}),0.09090909090909091,0.5,0.09090909090909091,1.0,2.0,1.0,0.045454545454545456,inf,0.55,0.18181818181818182,1.0,0.5909090909090909
